Making model...
Preparing loss function:
1.000 * MSE
[Epoch 1]	Learning rate: 1.00e-4
[4360/8000]	[MSE: 123.8067]	53.8+2.0s
[4400/8000]	[MSE: 123.4758]	53.8+2.0s
[4440/8000]	[MSE: 123.7504]	53.9+2.0s
[4480/8000]	[MSE: 123.3330]	53.8+2.0s
[4520/8000]	[MSE: 123.0723]	53.8+2.0s
[4560/8000]	[MSE: 122.8857]	53.8+2.0s
[4600/8000]	[MSE: 122.3952]	53.8+2.0s
[4640/8000]	[MSE: 122.0652]	53.8+2.0s
[4680/8000]	[MSE: 122.0472]	53.8+2.0s
[4720/8000]	[MSE: 121.6868]	53.8+2.0s
[4760/8000]	[MSE: 121.4061]	53.8+2.0s
[4800/8000]	[MSE: 121.0185]	53.8+2.0s
[4840/8000]	[MSE: 120.5803]	53.8+2.0s
[4880/8000]	[MSE: 120.2977]	53.8+2.0s
[4920/8000]	[MSE: 119.9337]	53.8+2.0s
[4960/8000]	[MSE: 120.0403]	53.8+2.0s
[5000/8000]	[MSE: 119.7299]	53.8+2.0s
[5040/8000]	[MSE: 119.3371]	53.8+2.0s
[5080/8000]	[MSE: 119.2099]	53.9+2.0s
[5120/8000]	[MSE: 118.7541]	53.8+2.0s
[5160/8000]	[MSE: 118.5893]	53.8+2.0s
[5200/8000]	[MSE: 118.0968]	53.8+2.0s
[5240/8000]	[MSE: 117.6889]	53.8+2.0s
[5280/8000]	[MSE: 117.4278]	53.8+2.0s
[5320/8000]	[MSE: 117.2528]	53.8+2.0s
[5360/8000]	[MSE: 116.8998]	53.7+2.0s
[5400/8000]	[MSE: 116.4702]	53.7+2.0s
[5440/8000]	[MSE: 116.0820]	53.8+2.0s
[5480/8000]	[MSE: 115.9658]	53.8+2.0s
[5520/8000]	[MSE: 115.6468]	53.8+2.0s
[5560/8000]	[MSE: 115.4009]	53.8+2.0s
[5600/8000]	[MSE: 115.1540]	53.8+2.0s
[5640/8000]	[MSE: 114.8265]	53.8+2.0s
[5680/8000]	[MSE: 114.6319]	53.8+2.0s
[5720/8000]	[MSE: 114.3576]	53.8+2.0s
[5760/8000]	[MSE: 114.3883]	53.8+2.0s
[5800/8000]	[MSE: 114.2004]	53.8+2.0s
[5840/8000]	[MSE: 113.9567]	53.8+2.0s
[5880/8000]	[MSE: 113.7505]	53.8+2.0s
[5920/8000]	[MSE: 113.4168]	53.8+2.0s
[5960/8000]	[MSE: 113.0171]	53.7+2.0s
[6000/8000]	[MSE: 112.6632]	53.8+2.0s
[6040/8000]	[MSE: 112.5037]	53.8+2.0s
[6080/8000]	[MSE: 112.4303]	53.8+2.0s
[6120/8000]	[MSE: 112.1942]	53.8+2.0s
[6160/8000]	[MSE: 112.2510]	53.8+2.0s
[6200/8000]	[MSE: 111.8729]	53.8+2.0s
[6240/8000]	[MSE: 111.5347]	53.8+2.0s
[6280/8000]	[MSE: 111.5082]	53.8+2.0s
[6320/8000]	[MSE: 111.2776]	53.8+2.0s
[6360/8000]	[MSE: 111.0088]	53.8+2.0s
[6400/8000]	[MSE: 111.0602]	53.8+2.0s
[6440/8000]	[MSE: 110.7865]	53.8+2.0s
[6480/8000]	[MSE: 110.6586]	53.8+2.0s
[6520/8000]	[MSE: 110.4553]	53.8+2.0s
[6560/8000]	[MSE: 110.1416]	53.8+2.0s
[6600/8000]	[MSE: 109.9491]	53.8+2.0s
[6640/8000]	[MSE: 109.7985]	53.8+2.0s
[6680/8000]	[MSE: 109.8288]	53.8+2.0s
[6720/8000]	[MSE: 109.5485]	53.8+2.0s
[6760/8000]	[MSE: 109.4811]	53.8+2.0s
[6800/8000]	[MSE: 109.3820]	53.8+2.0s
[6840/8000]	[MSE: 109.2338]	53.8+2.0s
[6880/8000]	[MSE: 109.2338]	53.8+2.0s
[6920/8000]	[MSE: 108.8993]	53.8+2.0s
[6960/8000]	[MSE: 108.8309]	53.8+2.0s
[7000/8000]	[MSE: 108.7093]	53.8+2.0s
[7040/8000]	[MSE: 108.4347]	53.8+2.0s
[7080/8000]	[MSE: 108.1381]	53.8+2.0s
[7120/8000]	[MSE: 108.1343]	53.8+2.0s
[7160/8000]	[MSE: 108.0825]	53.8+2.0s
[7200/8000]	[MSE: 107.7996]	53.8+2.0s
