Making model...
Preparing loss function:
1.000 * MSE
[Epoch 1]	Learning rate: 1.00e-4
[1776/16000]	[MSE: 279.0899]	3.3+0.1s
[1792/16000]	[MSE: 277.4554]	3.3+0.1s
[1808/16000]	[MSE: 275.7066]	3.3+0.1s
[1824/16000]	[MSE: 273.9577]	3.3+0.1s
[1840/16000]	[MSE: 272.2070]	3.3+0.1s
[1856/16000]	[MSE: 270.5137]	3.3+0.1s
[1872/16000]	[MSE: 269.2895]	3.3+0.1s
[1888/16000]	[MSE: 267.5794]	3.3+0.1s
[1904/16000]	[MSE: 266.1618]	3.3+0.1s
[1920/16000]	[MSE: 264.6181]	3.3+0.1s
[1936/16000]	[MSE: 263.2899]	3.3+0.1s
[1952/16000]	[MSE: 261.8438]	3.3+0.1s
[1968/16000]	[MSE: 260.2342]	3.3+0.1s
[1984/16000]	[MSE: 259.8162]	3.3+0.1s
[2000/16000]	[MSE: 259.0490]	3.3+0.1s
[2016/16000]	[MSE: 257.3254]	3.3+0.1s
[2032/16000]	[MSE: 256.3787]	3.3+0.1s
[2048/16000]	[MSE: 255.0637]	3.3+0.1s
[2064/16000]	[MSE: 253.7463]	3.3+0.1s
[2080/16000]	[MSE: 252.3175]	3.3+0.1s
[2096/16000]	[MSE: 250.8415]	3.3+0.1s
[2112/16000]	[MSE: 249.5795]	3.3+0.1s
[2128/16000]	[MSE: 248.3629]	3.3+0.1s
[2144/16000]	[MSE: 247.2849]	3.3+0.1s
[2160/16000]	[MSE: 246.1373]	3.3+0.1s
[2176/16000]	[MSE: 245.4377]	3.3+0.1s
[2192/16000]	[MSE: 244.2655]	3.3+0.1s
[2208/16000]	[MSE: 243.3186]	3.3+0.1s
[2224/16000]	[MSE: 242.3498]	3.3+0.1s
[2240/16000]	[MSE: 240.9708]	3.3+0.1s
[2256/16000]	[MSE: 240.1782]	3.3+0.1s
[2272/16000]	[MSE: 239.0638]	3.3+0.1s
[2288/16000]	[MSE: 238.4943]	3.3+0.1s
[2304/16000]	[MSE: 237.2993]	3.3+0.1s
[2320/16000]	[MSE: 236.5598]	3.3+0.1s
[2336/16000]	[MSE: 235.5882]	3.3+0.1s
[2352/16000]	[MSE: 234.4076]	3.3+0.1s
[2368/16000]	[MSE: 233.4781]	3.3+0.1s
[2384/16000]	[MSE: 232.5960]	3.3+0.1s
[2400/16000]	[MSE: 231.6941]	3.3+0.1s
[2416/16000]	[MSE: 230.6894]	3.3+0.1s
[2432/16000]	[MSE: 229.4696]	3.3+0.1s
[2448/16000]	[MSE: 228.7280]	3.3+0.1s
[2464/16000]	[MSE: 227.7404]	3.3+0.1s
[2480/16000]	[MSE: 226.8878]	3.3+0.1s
[2496/16000]	[MSE: 225.8778]	3.3+0.1s
[2512/16000]	[MSE: 225.0747]	3.3+0.1s
[2528/16000]	[MSE: 224.6582]	3.3+0.1s
[2544/16000]	[MSE: 223.5258]	3.3+0.1s
[2560/16000]	[MSE: 222.6759]	3.3+0.1s
[2576/16000]	[MSE: 222.0768]	3.3+0.1s
[2592/16000]	[MSE: 221.0815]	3.3+0.1s
[2608/16000]	[MSE: 220.2241]	3.3+0.1s
[2624/16000]	[MSE: 219.1844]	3.3+0.1s
[2640/16000]	[MSE: 218.2066]	3.3+0.1s
[2656/16000]	[MSE: 217.1883]	3.3+0.1s
[2672/16000]	[MSE: 216.2783]	3.3+0.1s
[2688/16000]	[MSE: 215.2754]	3.3+0.1s
[2704/16000]	[MSE: 214.3718]	3.3+0.1s
[2720/16000]	[MSE: 213.8187]	3.3+0.1s
[2736/16000]	[MSE: 213.2952]	3.3+0.1s
[2752/16000]	[MSE: 212.3792]	3.3+0.1s
[2768/16000]	[MSE: 211.5155]	3.3+0.1s
[2784/16000]	[MSE: 210.9978]	3.3+0.1s
[2800/16000]	[MSE: 210.2382]	3.3+0.1s
[2816/16000]	[MSE: 209.4595]	3.3+0.1s
[2832/16000]	[MSE: 208.6001]	3.3+0.1s
[2848/16000]	[MSE: 207.8976]	3.3+0.1s
[2864/16000]	[MSE: 207.1515]	3.3+0.1s
[2880/16000]	[MSE: 206.4931]	3.3+0.1s
[2896/16000]	[MSE: 205.7082]	3.3+0.1s
[2912/16000]	[MSE: 205.2961]	3.3+0.1s
[2928/16000]	[MSE: 204.7269]	3.3+0.1s
[2944/16000]	[MSE: 203.9040]	3.3+0.1s
[2960/16000]	[MSE: 203.2936]	3.3+0.1s
[2976/16000]	[MSE: 202.6425]	3.3+0.1s
[2992/16000]	[MSE: 202.2063]	3.3+0.1s
[3008/16000]	[MSE: 201.5616]	3.3+0.1s
[3024/16000]	[MSE: 200.8414]	3.3+0.1s
[3040/16000]	[MSE: 200.2776]	3.3+0.1s
[3056/16000]	[MSE: 199.6691]	3.3+0.1s
[3072/16000]	[MSE: 199.2995]	3.3+0.1s
[3088/16000]	[MSE: 198.7846]	3.3+0.1s
[3104/16000]	[MSE: 198.1772]	3.3+0.1s
[3120/16000]	[MSE: 197.5323]	3.3+0.1s
[3136/16000]	[MSE: 197.0953]	3.3+0.1s
[3152/16000]	[MSE: 196.5984]	3.3+0.1s
[3168/16000]	[MSE: 196.0015]	3.3+0.1s
[3184/16000]	[MSE: 195.3704]	3.3+0.1s
[3200/16000]	[MSE: 194.5715]	3.3+0.1s
[3216/16000]	[MSE: 194.0354]	3.3+0.1s
[3232/16000]	[MSE: 193.4165]	3.3+0.1s
[3248/16000]	[MSE: 192.8110]	3.3+0.1s
[3264/16000]	[MSE: 192.5950]	3.3+0.1s
[3280/16000]	[MSE: 191.9582]	3.3+0.1s
[3296/16000]	[MSE: 191.2852]	3.3+0.1s
[3312/16000]	[MSE: 190.8093]	3.3+0.1s
[3328/16000]	[MSE: 190.1802]	3.3+0.1s
[3344/16000]	[MSE: 189.6990]	3.3+0.1s
[3360/16000]	[MSE: 189.0415]	3.3+0.1s
[3376/16000]	[MSE: 188.5330]	3.3+0.1s
[3392/16000]	[MSE: 188.0115]	3.3+0.1s
[3408/16000]	[MSE: 187.5070]	3.3+0.1s
[3424/16000]	[MSE: 187.2921]	3.3+0.1s
[3440/16000]	[MSE: 187.0798]	3.3+0.1s
[3456/16000]	[MSE: 186.5902]	3.3+0.1s
[3472/16000]	[MSE: 186.0056]	3.3+0.1s
[3488/16000]	[MSE: 185.5416]	3.3+0.1s
[3504/16000]	[MSE: 184.9832]	3.3+0.1s
[3520/16000]	[MSE: 184.8057]	3.3+0.1s
[3536/16000]	[MSE: 184.3822]	3.3+0.1s
[3552/16000]	[MSE: 183.8948]	3.3+0.1s
[3568/16000]	[MSE: 183.4102]	3.3+0.1s
[3584/16000]	[MSE: 183.1591]	3.3+0.1s
[3600/16000]	[MSE: 182.6462]	3.3+0.1s
[3616/16000]	[MSE: 182.3503]	3.3+0.1s
[3632/16000]	[MSE: 181.8595]	3.3+0.1s
[3648/16000]	[MSE: 181.4312]	3.3+0.1s
[3664/16000]	[MSE: 180.8692]	3.3+0.1s
[3680/16000]	[MSE: 180.2327]	3.3+0.1s
[3696/16000]	[MSE: 179.6665]	3.3+0.1s
[3712/16000]	[MSE: 179.1080]	3.3+0.1s
[3728/16000]	[MSE: 178.5922]	3.3+0.1s
[3744/16000]	[MSE: 178.1246]	3.3+0.1s
[3760/16000]	[MSE: 177.6084]	3.3+0.1s
[3776/16000]	[MSE: 177.1511]	3.3+0.1s
[3792/16000]	[MSE: 177.3026]	3.3+0.1s
[3808/16000]	[MSE: 177.1271]	3.3+0.1s
[3824/16000]	[MSE: 176.5820]	3.3+0.1s
[3840/16000]	[MSE: 176.0195]	3.3+0.1s
[3856/16000]	[MSE: 175.5199]	3.3+0.1s
[3872/16000]	[MSE: 175.1854]	3.3+0.1s
[3888/16000]	[MSE: 174.8732]	3.3+0.1s
[3904/16000]	[MSE: 174.8154]	3.3+0.1s
[3920/16000]	[MSE: 174.3984]	3.3+0.1s
[3936/16000]	[MSE: 173.8493]	3.3+0.1s
[3952/16000]	[MSE: 173.4253]	3.3+0.1s
[3968/16000]	[MSE: 173.2149]	3.3+0.1s
[3984/16000]	[MSE: 172.8528]	3.3+0.1s
[4000/16000]	[MSE: 172.7406]	3.3+0.1s
[4016/16000]	[MSE: 172.4978]	3.3+0.1s
[4032/16000]	[MSE: 172.1952]	3.3+0.1s
[4048/16000]	[MSE: 171.9369]	3.3+0.1s
[4064/16000]	[MSE: 171.4759]	3.3+0.1s
[4080/16000]	[MSE: 171.2092]	3.3+0.1s
[4096/16000]	[MSE: 170.8563]	3.3+0.1s
[4112/16000]	[MSE: 170.5649]	3.3+0.1s
[4128/16000]	[MSE: 170.0309]	3.3+0.1s
[4144/16000]	[MSE: 169.6145]	3.3+0.1s
[4160/16000]	[MSE: 169.2252]	3.3+0.1s
[4176/16000]	[MSE: 168.7411]	3.3+0.1s
[4192/16000]	[MSE: 168.3088]	3.3+0.1s
[4208/16000]	[MSE: 167.9374]	3.3+0.1s
[4224/16000]	[MSE: 167.5675]	3.3+0.1s
[4240/16000]	[MSE: 167.2385]	3.3+0.1s
[4256/16000]	[MSE: 166.9521]	3.3+0.1s
[4272/16000]	[MSE: 166.7151]	3.3+0.1s
[4288/16000]	[MSE: 166.2984]	3.3+0.1s
[4304/16000]	[MSE: 165.9152]	3.3+0.1s
[4320/16000]	[MSE: 165.6403]	3.3+0.1s
[4336/16000]	[MSE: 165.2339]	3.3+0.1s
[4352/16000]	[MSE: 164.8231]	3.3+0.1s
[4368/16000]	[MSE: 164.4899]	3.3+0.1s
[4384/16000]	[MSE: 164.2955]	3.3+0.1s
[4400/16000]	[MSE: 163.9095]	3.3+0.1s
[4416/16000]	[MSE: 163.5038]	3.3+0.1s
[4432/16000]	[MSE: 163.1102]	3.3+0.1s
[4448/16000]	[MSE: 162.6953]	3.3+0.1s
[4464/16000]	[MSE: 162.2810]	3.3+0.1s
[4480/16000]	[MSE: 162.1501]	3.3+0.1s
[4496/16000]	[MSE: 162.0397]	3.3+0.1s
[4512/16000]	[MSE: 161.6799]	3.3+0.1s
[4528/16000]	[MSE: 161.4075]	3.3+0.1s
[4544/16000]	[MSE: 161.0896]	3.3+0.1s
[4560/16000]	[MSE: 160.8408]	3.3+0.1s
[4576/16000]	[MSE: 160.6838]	3.3+0.1s
[4592/16000]	[MSE: 160.4500]	3.3+0.1s
[4608/16000]	[MSE: 160.3857]	3.3+0.1s
[4624/16000]	[MSE: 160.2783]	3.3+0.1s
[4640/16000]	[MSE: 160.0151]	3.3+0.1s
[4656/16000]	[MSE: 160.1101]	3.3+0.1s
[4672/16000]	[MSE: 159.6932]	3.3+0.1s
[4688/16000]	[MSE: 159.5338]	3.3+0.1s
[4704/16000]	[MSE: 159.3367]	3.3+0.1s
[4720/16000]	[MSE: 159.0414]	3.3+0.1s
[4736/16000]	[MSE: 158.6909]	3.3+0.1s
[4752/16000]	[MSE: 158.3986]	3.3+0.1s
[4768/16000]	[MSE: 158.1038]	3.3+0.1s
[4784/16000]	[MSE: 157.8035]	3.3+0.1s
[4800/16000]	[MSE: 157.5357]	3.3+0.1s
[4816/16000]	[MSE: 157.1914]	3.3+0.1s
[4832/16000]	[MSE: 157.1194]	3.3+0.1s
[4848/16000]	[MSE: 156.6974]	3.3+0.1s
[4864/16000]	[MSE: 156.6494]	3.3+0.1s
[4880/16000]	[MSE: 156.5017]	3.3+0.1s
[4896/16000]	[MSE: 156.2654]	3.3+0.1s
[4912/16000]	[MSE: 155.9980]	3.3+0.1s
[4928/16000]	[MSE: 155.9427]	3.3+0.1s
[4944/16000]	[MSE: 155.5735]	3.3+0.1s
[4960/16000]	[MSE: 155.3001]	3.3+0.1s
[4976/16000]	[MSE: 155.1273]	3.3+0.1s
[4992/16000]	[MSE: 154.9422]	3.3+0.1s
[5008/16000]	[MSE: 154.8327]	3.3+0.1s
[5024/16000]	[MSE: 154.6414]	3.3+0.1s
[5040/16000]	[MSE: 154.4337]	3.3+0.1s
[5056/16000]	[MSE: 154.2757]	3.3+0.1s
[5072/16000]	[MSE: 154.1517]	3.3+0.1s
[5088/16000]	[MSE: 153.9511]	3.3+0.1s
[5104/16000]	[MSE: 153.8906]	3.3+0.1s
[5120/16000]	[MSE: 153.5697]	3.3+0.1s
[5136/16000]	[MSE: 153.1970]	3.3+0.1s
[5152/16000]	[MSE: 153.0072]	3.3+0.1s
[5168/16000]	[MSE: 152.6668]	3.3+0.1s
[5184/16000]	[MSE: 152.2982]	3.3+0.1s
[5200/16000]	[MSE: 152.0328]	3.3+0.1s
[5216/16000]	[MSE: 151.9493]	3.3+0.1s
[5232/16000]	[MSE: 151.7439]	3.3+0.1s
[5248/16000]	[MSE: 151.3958]	3.3+0.1s
[5264/16000]	[MSE: 151.1744]	3.3+0.1s
[5280/16000]	[MSE: 150.8281]	3.3+0.1s
[5296/16000]	[MSE: 150.5846]	3.3+0.1s
[5312/16000]	[MSE: 150.3358]	3.3+0.1s
[5328/16000]	[MSE: 150.1072]	3.3+0.1s
