Making model...
Preparing loss function:
1.000 * MSE
[Epoch 1]	Learning rate: 1.00e-4
 10%|████▍                                       | 1/10 [00:05<00:48,  5.40s/it] 20%|████████▊                                   | 2/10 [00:09<00:40,  5.08s/it] 30%|█████████████▏                              | 3/10 [00:14<00:35,  5.06s/it] 40%|█████████████████▌                          | 4/10 [00:18<00:27,  4.66s/it] 50%|██████████████████████                      | 5/10 [00:23<00:23,  4.70s/it] 60%|██████████████████████████▍                 | 6/10 [00:27<00:18,  4.58s/it] 70%|██████████████████████████████▊             | 7/10 [00:31<00:12,  4.27s/it] 80%|███████████████████████████████████▏        | 8/10 [00:35<00:08,  4.28s/it] 90%|███████████████████████████████████████▌    | 9/10 [00:39<00:04,  4.29s/it]100%|███████████████████████████████████████████| 10/10 [00:44<00:00,  4.43s/it][DIV2K x2]	PSNR: 33.521 (Best: 33.521 @epoch 1)
Forward: 44.53s

Saving...
Total: 46.01s

[Epoch 2]	Learning rate: 1.00e-4

  0%|                                                    | 0/10 [00:00<?, ?it/s][160/16000]	[MSE: 83.9931]	32.7+1.1s
[320/16000]	[MSE: 79.0975]	32.7+0.8s
[480/16000]	[MSE: 78.7512]	32.7+0.8s
[640/16000]	[MSE: 73.7061]	32.7+0.8s
[800/16000]	[MSE: 72.0061]	32.7+0.8s
[960/16000]	[MSE: 73.2138]	32.7+0.8s
[1120/16000]	[MSE: 72.6822]	32.7+0.8s
[1280/16000]	[MSE: 72.0946]	32.7+0.8s
[1440/16000]	[MSE: 73.4758]	32.7+0.8s
[1600/16000]	[MSE: 73.2433]	32.7+0.8s
[1760/16000]	[MSE: 74.0073]	32.7+0.8s
[1920/16000]	[MSE: 73.9770]	32.7+0.8s
[2080/16000]	[MSE: 73.9846]	32.7+0.8s
[2240/16000]	[MSE: 74.1719]	32.7+0.8s
[2400/16000]	[MSE: 75.8115]	32.7+0.8s
[2560/16000]	[MSE: 75.9278]	32.7+0.8s
[2720/16000]	[MSE: 74.7006]	32.7+0.8s
[2880/16000]	[MSE: 74.0924]	32.7+0.8s
[3040/16000]	[MSE: 74.2225]	32.7+0.8s
[3200/16000]	[MSE: 74.8221]	32.7+0.8s
[3360/16000]	[MSE: 75.1478]	32.7+0.8s
[3520/16000]	[MSE: 75.4471]	32.7+0.8s
[3680/16000]	[MSE: 75.1913]	32.7+0.8s
[3840/16000]	[MSE: 75.3160]	32.7+0.8s
[4000/16000]	[MSE: 74.9718]	32.7+0.8s
[4160/16000]	[MSE: 74.6925]	32.7+0.8s
[4320/16000]	[MSE: 74.4826]	32.7+0.8s
[4480/16000]	[MSE: 74.3367]	32.7+0.8s
[4640/16000]	[MSE: 73.7977]	32.7+0.8s
[4800/16000]	[MSE: 73.9074]	32.7+0.8s
[4960/16000]	[MSE: 73.9632]	32.7+0.8s
